R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
DH097_B,23.51,90.64,-4.01,-3.54,-3.14,,-3
DH098_D,23.98,89.98,3.4,3.6,4.25,2.8,
DH099_A,23.6,90.1,1.17,1.44,,0.74,1.56
DH100_B,24.28,90.35,6.56,6.5,6.36,4.95,2.35
DH105_B,23.92,90.94,3.98,,4.5,,4.53
DH107_A,24,90.93,5.21,5.38,5.57,,5.28
DH108_B,23.75,90.37,-14.65,-13.33,-24.67,-29.86,-43.77
DH110_B,23.72,90.41,-14.99,,-37.84,,
DH111_B,23.76,90.36,-10.5,-14.76,,,
DH113_B,24.16,90.67,8.82,8.88,8.6,,7.35
DH114_B,23.99,90.68,3.55,3.49,4.3,,
DH115_B,23.92,90.31,-0.35,1.02,-2.45,-4.43,
DH117_B,24.28,90.49,7.92,,7.68,5.49,4.49
DH118_B,24.15,90.35,0.72,-0.02,0.92,-1.38,-2.83
DH119_B,24.13,90.62,10.57,12.3,10.64,10.51,9.1
DH120_B,23.86,90.52,-0.37,-0.15,-0.69,,-4.85
DH121_B,24.1,90.75,4.41,4.78,4.82,3.8,3.07
DH125_A,23.74,89.97,0.77,3.48,,2,2.23
DH126_B,23.58,90.64,1.58,2.24,1.93,1.76,1.76
DI002_B,26.47,88.44,80.59,80.73,81.42,81.12,80.62
DI003_B,26.45,88.6,77.68,77.89,78.1,77.42,77.95
DI004_C,26.33,88.41,60.23,60.78,59.88,,59.68
DI005_B,26.34,88.73,43.15,43.67,43.46,42.77,43.84
DI007_B,26.27,88.37,64.33,65.34,64.89,64.56,65.42
DI008_B,26.26,88.57,67.94,66.49,67.32,,
DI009_B,26.25,88.42,58.87,59.65,59.37,59.21,59.31
DI010_B,26.25,88.64,61,61.95,61,60.52,61.9
DI011_B,26.15,88.55,57.94,58.89,58.37,58.15,58.26
DI012_B,26.2,88.61,,55.61,,55.77,56.41
DI013_C,26.19,88.29,54.71,54.51,53.21,53.59,53.49
DI014_B,26.11,88.43,53.83,54.53,54.18,53.74,53.87
DI015_C,26.11,88.28,,49.12,,48.07,48.07
DI016_B,25.97,88.31,47.53,47.53,46.98,46.95,
DI017_B,26.1,88.49,51.67,52.05,51.56,51.18,51.97
DI018_C,26.02,88.48,44.09,43.9,41.94,,
DI019_B,26.1,88.54,49.37,50.92,49.71,,49.32
DI020_B,26.04,88.65,53.13,53.29,53.13,53.26,
DI021_C,26.08,88.37,,,,51.08,50.93
DI022_B,26.17,88.41,53.6,54.92,54.28,54.48,54.6
DI023_B,26.15,88.47,55.74,56.14,55.99,55.69,56.04
DI024_B,26.19,88.48,59.92,60.67,60.65,,60.56
DI025_B,25.65,88.56,,30.17,,,
DI027_B,26.36,88.68,44.03,44.47,43.26,42.59,42.84
